Branch Name,Supplier Name,Received At,Inventory Item Name,UOM,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
Eastgate Shopping Center,FreshFarm Wholesale Co.,2025-12-07,Coca Cola 2L,Unit,107,2.17,BATCH-44407,,INV-662674,Rush delivery
South Bay Store,Eco-Friendly Suppliers,2026-01-17,Coca Cola 2L,Unit,106,2.01,BATCH-85413,,INV-799667,Seasonal inventory
South Bay Store,Mega Suppliers Inc.,2025-11-29,Coca Cola 2L,Unit,211,1.88,BATCH-80919,,INV-700977,Quality checked and approved
South Bay Store,Prime Importers,2026-01-16,Coca Cola 2L,Unit,214,2.32,BATCH-21039,,INV-684704,Promotional stock
Westside Mall Branch,Eco-Friendly Suppliers,2026-01-21,Coca Cola 2L,Unit,98,1.98,BATCH-61540,,INV-884175,Promotional stock
Westside Mall Branch,Regional Supply Chain,2025-12-16,Coca Cola 2L,Unit,190,2.08,BATCH-34344,,INV-696850,Quality checked and approved
Westside Mall Branch,Premium Grocers Supply,2025-12-10,Coca Cola 2L,Unit,227,2.38,BATCH-47500,,INV-229958,
Downtown Main Store,Quality Foods Ltd.,2025-11-25,Mineral Water 500ml,Unit,235,1.03,BATCH-21082,,INV-150601,Rush delivery
Eastgate Shopping Center,Eco-Friendly Suppliers,2025-12-30,Mineral Water 500ml,Unit,107,0.89,BATCH-99133,,INV-208108,
Eastgate Shopping Center,Bulk Foods Warehouse,2026-01-23,Mineral Water 500ml,Unit,100,1.02,BATCH-62380,,INV-735344,Quality checked and approved
Eastgate Shopping Center,Quality Foods Ltd.,2026-01-14,Mineral Water 500ml,Unit,106,1,BATCH-79081,,INV-378056,Rush delivery
Northpoint Outlet,Bulk Foods Warehouse,2026-01-20,Mineral Water 500ml,Unit,258,0.79,BATCH-72744,,INV-485474,Promotional stock
Northpoint Outlet,Global Food Distributors,2026-01-28,Mineral Water 500ml,Unit,200,0.99,BATCH-74484,,INV-207752,Rush delivery
Northpoint Outlet,Mega Suppliers Inc.,2026-01-05,Mineral Water 500ml,Unit,283,0.82,BATCH-29298,,INV-866534,Promotional stock
South Bay Store,Bulk Foods Warehouse,2025-12-20,Mineral Water 500ml,Unit,233,1,BATCH-26212,,INV-375223,
South Bay Store,Regional Supply Chain,2025-11-12,Mineral Water 500ml,Unit,390,0.87,BATCH-22225,,INV-923654,Quality checked and approved
South Bay Store,Eco-Friendly Suppliers,2025-11-05,Mineral Water 500ml,Unit,192,0.81,BATCH-85981,,INV-849178,
Westside Mall Branch,Premium Grocers Supply,2026-01-06,Mineral Water 500ml,Unit,213,0.94,BATCH-72257,,INV-359711,
Westside Mall Branch,Express Distribution Co.,2026-01-11,Mineral Water 500ml,Unit,365,0.94,BATCH-26151,,INV-489099,
Westside Mall Branch,Eco-Friendly Suppliers,2026-01-08,Green Tea Bags,Unit,37,6.99,BATCH-85044,,INV-727403,Promotional stock
Eastgate Shopping Center,Regional Supply Chain,2025-12-14,Green Tea Bags,Unit,62,5.7,BATCH-23641,,INV-873451,
Downtown Main Store,Regional Supply Chain,2025-12-27,Green Tea Bags,Unit,21,7.11,BATCH-88552,,INV-523670,
Northpoint Outlet,Quality Foods Ltd.,2025-12-23,Green Tea Bags,Unit,46,5.47,BATCH-74336,,INV-133630,Rush delivery
Northpoint Outlet,Bulk Foods Warehouse,2026-01-18,Green Tea Bags,Unit,67,6.06,BATCH-37082,,INV-802568,
South Bay Store,Express Distribution Co.,2025-11-25,Green Tea Bags,Unit,30,6.55,BATCH-18948,,INV-350292,Promotional stock
South Bay Store,Regional Supply Chain,2025-12-30,Green Tea Bags,Unit,51,5.43,BATCH-69988,,INV-453277,
Westside Mall Branch,Bulk Foods Warehouse,2025-12-20,Arabica Coffee Beans,Kilogram,18,15.08,BATCH-77738,,INV-285505,Seasonal inventory
Northpoint Outlet,Mega Suppliers Inc.,2026-01-03,Arabica Coffee Beans,Kilogram,36,17.66,BATCH-75155,,INV-527529,
South Bay Store,Bulk Foods Warehouse,2025-11-07,Arabica Coffee Beans,Kilogram,35,19.68,BATCH-33652,,INV-460995,Quality checked and approved
South Bay Store,Bulk Foods Warehouse,2025-11-28,Arabica Coffee Beans,Kilogram,16,18.56,BATCH-39292,,INV-321102,
South Bay Store,Bulk Foods Warehouse,2025-12-24,Arabica Coffee Beans,Kilogram,26,16.13,BATCH-75305,,INV-963801,Rush delivery
Downtown Main Store,Prime Importers,2026-01-28,Arabica Coffee Beans,Kilogram,45,15.1,BATCH-23207,,INV-123710,
Downtown Main Store,Eco-Friendly Suppliers,2025-11-15,Arabica Coffee Beans,Kilogram,33,18.1,BATCH-61309,,INV-305533,Promotional stock
Downtown Main Store,Prime Importers,2025-12-02,Arabica Coffee Beans,Kilogram,23,15.61,BATCH-42576,,INV-524772,
Eastgate Shopping Center,Prime Importers,2026-01-25,Arabica Coffee Beans,Kilogram,34,15.43,BATCH-50047,,INV-111892,Rush delivery
Northpoint Outlet,Quality Foods Ltd.,2026-01-06,Fresh Bananas,Kilogram,113,1.74,BATCH-89131,2026-05-07,INV-587350,
Northpoint Outlet,Bulk Foods Warehouse,2026-01-08,Fresh Bananas,Kilogram,45,1.76,BATCH-86002,2026-03-13,INV-319912,Promotional stock
Northpoint Outlet,Regional Supply Chain,2025-11-09,Fresh Bananas,Kilogram,83,1.89,BATCH-38423,2026-01-07,INV-910754,Quality checked and approved
Eastgate Shopping Center,FreshFarm Wholesale Co.,2026-01-10,Fresh Bananas,Kilogram,105,1.82,BATCH-22325,2026-02-28,INV-866615,
Eastgate Shopping Center,Bulk Foods Warehouse,2025-11-30,Fresh Bananas,Kilogram,75,1.81,BATCH-58522,2026-04-15,INV-671112,Promotional stock
Downtown Main Store,Bulk Foods Warehouse,2025-11-18,Fresh Bananas,Kilogram,88,1.55,BATCH-38156,2026-03-24,INV-924460,
Downtown Main Store,Premium Grocers Supply,2025-11-28,Fresh Bananas,Kilogram,59,1.84,BATCH-34730,2026-05-04,INV-773517,Seasonal inventory
Downtown Main Store,Express Distribution Co.,2025-12-31,Fresh Bananas,Kilogram,80,1.93,BATCH-85856,2026-03-26,INV-539047,Quality checked and approved
South Bay Store,FreshFarm Wholesale Co.,2025-11-19,Fresh Bananas,Kilogram,51,1.63,BATCH-14496,2026-03-16,INV-618637,
Westside Mall Branch,FreshFarm Wholesale Co.,2026-01-25,Fresh Bananas,Kilogram,54,1.78,BATCH-28942,2026-04-04,INV-107758,
Westside Mall Branch,Global Food Distributors,2025-11-10,Fresh Bananas,Kilogram,48,1.7,BATCH-77962,2026-03-18,INV-787629,
Westside Mall Branch,Premium Grocers Supply,2026-01-10,Fresh Bananas,Kilogram,109,1.97,BATCH-66402,2026-02-24,INV-728862,
Northpoint Outlet,Quality Foods Ltd.,2026-01-03,Red Apples,Kilogram,52,2.93,BATCH-29966,2026-03-02,INV-173863,
South Bay Store,Regional Supply Chain,2025-12-25,Red Apples,Kilogram,68,2.53,BATCH-69757,2026-03-02,INV-318780,Rush delivery
South Bay Store,Premium Grocers Supply,2026-01-19,Red Apples,Kilogram,96,2.86,BATCH-66591,2026-07-17,INV-973789,Quality checked and approved
Downtown Main Store,FreshFarm Wholesale Co.,2026-01-11,Red Apples,Kilogram,117,2.67,BATCH-21441,2026-06-04,INV-214604,
Downtown Main Store,Premium Grocers Supply,2026-01-03,Red Apples,Kilogram,108,2.92,BATCH-40929,2026-02-19,INV-399082,Seasonal inventory
Downtown Main Store,Prime Importers,2025-11-07,Red Apples,Kilogram,165,2.91,BATCH-46432,2025-12-07,INV-333650,Seasonal inventory
Downtown Main Store,Premium Grocers Supply,2025-11-08,Organic Tomatoes,Kilogram,52,3.58,BATCH-51199,2026-03-16,INV-367815,
South Bay Store,Regional Supply Chain,2026-01-21,Organic Tomatoes,Kilogram,53,3.49,BATCH-71886,2026-03-17,INV-464460,Rush delivery
Northpoint Outlet,Bulk Foods Warehouse,2025-11-05,Organic Tomatoes,Kilogram,53,3.35,BATCH-99751,2025-12-15,INV-614227,Rush delivery
Eastgate Shopping Center,Premium Grocers Supply,2025-12-07,Organic Tomatoes,Kilogram,105,3.35,BATCH-62614,2026-02-20,INV-555097,
Eastgate Shopping Center,Premium Grocers Supply,2025-12-14,Organic Tomatoes,Kilogram,57,3.12,BATCH-31170,2026-06-09,INV-387227,Quality checked and approved
Eastgate Shopping Center,Global Food Distributors,2025-12-11,Organic Tomatoes,Kilogram,70,3.29,BATCH-71552,2026-04-12,INV-741426,Promotional stock
Downtown Main Store,Mega Suppliers Inc.,2025-12-11,Fresh Carrots,Kilogram,79,1.82,BATCH-38212,2026-01-15,INV-734077,Seasonal inventory
Downtown Main Store,Premium Grocers Supply,2025-11-21,Fresh Carrots,Kilogram,31,2.26,BATCH-48335,2026-02-14,INV-136121,Promotional stock
Northpoint Outlet,Prime Importers,2026-01-22,Fresh Carrots,Kilogram,44,2.03,BATCH-91290,2026-03-19,INV-371217,
Northpoint Outlet,Premium Grocers Supply,2026-01-04,Fresh Carrots,Kilogram,67,2.39,BATCH-54681,2026-04-01,INV-558894,Rush delivery
Northpoint Outlet,Prime Importers,2026-01-17,Fresh Carrots,Kilogram,73,2.15,BATCH-71118,2026-04-11,INV-875923,
Eastgate Shopping Center,FreshFarm Wholesale Co.,2026-01-23,Fresh Carrots,Kilogram,69,1.85,BATCH-19507,2026-06-11,INV-576075,Seasonal inventory
Eastgate Shopping Center,Bulk Foods Warehouse,2025-11-26,Fresh Carrots,Kilogram,70,1.95,BATCH-79068,2026-05-17,INV-595873,Promotional stock
South Bay Store,Regional Supply Chain,2025-11-07,Fresh Carrots,Kilogram,98,1.97,BATCH-22006,2026-02-15,INV-528183,
Westside Mall Branch,Eco-Friendly Suppliers,2026-01-07,Fresh Carrots,Kilogram,78,2.15,BATCH-47760,2026-05-16,INV-373219,Rush delivery
Westside Mall Branch,Regional Supply Chain,2025-12-14,Broccoli Crowns,Kilogram,42,3.89,BATCH-18134,2026-02-15,INV-952697,
Westside Mall Branch,Premium Grocers Supply,2025-11-28,Broccoli Crowns,Kilogram,44,4.14,BATCH-62180,2026-03-02,INV-546699,
Westside Mall Branch,Quality Foods Ltd.,2026-01-15,Broccoli Crowns,Kilogram,36,3.75,BATCH-14472,2026-02-18,INV-705796,
South Bay Store,Eco-Friendly Suppliers,2026-01-13,Broccoli Crowns,Kilogram,63,3.35,BATCH-29045,2026-02-14,INV-758465,Rush delivery
South Bay Store,Express Distribution Co.,2026-01-04,Broccoli Crowns,Kilogram,23,3.39,BATCH-54949,2026-02-21,INV-675759,
South Bay Store,Mega Suppliers Inc.,2026-01-31,Broccoli Crowns,Kilogram,36,3.46,BATCH-64440,2026-03-14,INV-435269,Seasonal inventory
Downtown Main Store,Prime Importers,2025-11-10,Broccoli Crowns,Kilogram,37,4.3,BATCH-58497,2026-01-19,INV-726351,Quality checked and approved
Eastgate Shopping Center,FreshFarm Wholesale Co.,2025-11-13,Broccoli Crowns,Kilogram,53,3.86,BATCH-24814,2026-02-18,INV-873138,
Eastgate Shopping Center,Premium Grocers Supply,2026-01-19,Broccoli Crowns,Kilogram,24,3.61,BATCH-29813,2026-03-09,INV-347767,Promotional stock
Eastgate Shopping Center,Prime Importers,2025-11-20,Broccoli Crowns,Kilogram,38,4.14,BATCH-15349,2026-03-07,INV-438406,Promotional stock
Northpoint Outlet,Premium Grocers Supply,2025-12-19,Broccoli Crowns,Kilogram,27,4.22,BATCH-20129,2026-01-23,INV-387274,
Northpoint Outlet,Premium Grocers Supply,2026-01-05,Broccoli Crowns,Kilogram,49,3.82,BATCH-93127,2026-03-18,INV-217224,Rush delivery
Northpoint Outlet,Express Distribution Co.,2025-11-13,Broccoli Crowns,Kilogram,24,3.85,BATCH-40525,2026-03-14,INV-731937,Promotional stock
Northpoint Outlet,Quality Foods Ltd.,2026-01-24,Iceberg Lettuce,Unit,27,1.85,BATCH-94590,2026-07-16,INV-621081,Seasonal inventory
Eastgate Shopping Center,Premium Grocers Supply,2026-02-02,Iceberg Lettuce,Unit,27,1.79,BATCH-62239,2026-04-28,INV-644060,Rush delivery
Eastgate Shopping Center,Bulk Foods Warehouse,2026-01-07,Iceberg Lettuce,Unit,26,1.94,BATCH-30499,2026-07-04,INV-733012,Promotional stock
Downtown Main Store,Bulk Foods Warehouse,2025-11-26,Iceberg Lettuce,Unit,33,1.76,BATCH-74768,2026-04-25,INV-289346,Promotional stock
Downtown Main Store,Regional Supply Chain,2025-12-19,Iceberg Lettuce,Unit,71,1.81,BATCH-99892,2026-06-12,INV-429453,
Downtown Main Store,Global Food Distributors,2025-12-06,Iceberg Lettuce,Unit,81,2.02,BATCH-84566,2026-01-15,INV-197739,
South Bay Store,Global Food Distributors,2025-12-18,Iceberg Lettuce,Unit,27,1.86,BATCH-42239,2026-03-17,INV-636953,Seasonal inventory
South Bay Store,Regional Supply Chain,2025-12-04,Iceberg Lettuce,Unit,52,2.01,BATCH-38802,2026-02-15,INV-327414,
South Bay Store,FreshFarm Wholesale Co.,2026-01-07,Iceberg Lettuce,Unit,66,2.07,BATCH-54031,2026-04-22,INV-653818,
Westside Mall Branch,Regional Supply Chain,2025-12-24,Iceberg Lettuce,Unit,26,1.91,BATCH-90645,2026-06-21,INV-249501,Seasonal inventory
Westside Mall Branch,Prime Importers,2025-12-28,Iceberg Lettuce,Unit,37,1.93,BATCH-44772,2026-04-13,INV-997784,
Westside Mall Branch,Bulk Foods Warehouse,2025-11-25,Iceberg Lettuce,Unit,44,1.77,BATCH-76919,2026-01-20,INV-142858,
Northpoint Outlet,Mega Suppliers Inc.,2025-12-30,Chicken Breast Boneless,Kilogram,41,8.03,BATCH-71906,2026-01-29,INV-580054,
Eastgate Shopping Center,Global Food Distributors,2025-11-29,Chicken Breast Boneless,Kilogram,44,7.83,BATCH-81723,2026-04-22,INV-886923,Quality checked and approved
Eastgate Shopping Center,FreshFarm Wholesale Co.,2025-11-08,Chicken Breast Boneless,Kilogram,59,8.24,BATCH-37108,2026-01-28,INV-796485,Rush delivery
Eastgate Shopping Center,Premium Grocers Supply,2026-02-02,Chicken Breast Boneless,Kilogram,69,8.37,BATCH-83685,2026-04-22,INV-943379,Quality checked and approved
South Bay Store,FreshFarm Wholesale Co.,2026-01-07,Chicken Breast Boneless,Kilogram,85,9.51,BATCH-72274,2026-03-14,INV-879597,
Westside Mall Branch,Bulk Foods Warehouse,2026-01-24,Chicken Breast Boneless,Kilogram,78,8.09,BATCH-71410,2026-07-15,INV-591249,Promotional stock
Westside Mall Branch,Regional Supply Chain,2025-11-28,Chicken Breast Boneless,Kilogram,88,9.36,BATCH-82451,2026-01-01,INV-138495,
Westside Mall Branch,Express Distribution Co.,2025-11-13,Chicken Breast Boneless,Kilogram,65,7.28,BATCH-91391,2026-04-08,INV-886743,
South Bay Store,Global Food Distributors,2026-01-16,Ground Beef 85/15,Kilogram,34,7.66,BATCH-73785,2026-04-15,INV-109356,
South Bay Store,Bulk Foods Warehouse,2026-01-19,Ground Beef 85/15,Kilogram,64,6.73,BATCH-99102,2026-05-16,INV-808162,Seasonal inventory
Eastgate Shopping Center,Regional Supply Chain,2025-11-05,Ground Beef 85/15,Kilogram,77,6.41,BATCH-84735,2025-12-13,INV-271020,
Eastgate Shopping Center,Regional Supply Chain,2025-12-04,Ground Beef 85/15,Kilogram,26,7.53,BATCH-18772,2026-05-11,INV-780805,
Northpoint Outlet,Mega Suppliers Inc.,2025-11-14,Ground Beef 85/15,Kilogram,74,6.54,BATCH-49816,2026-02-13,INV-702301,
Northpoint Outlet,FreshFarm Wholesale Co.,2026-01-25,Ground Beef 85/15,Kilogram,79,6.62,BATCH-20037,2026-05-03,INV-729313,Rush delivery
Downtown Main Store,Quality Foods Ltd.,2025-11-19,Ground Beef 85/15,Kilogram,50,6.71,BATCH-31580,2026-04-30,INV-460211,
Downtown Main Store,Prime Importers,2025-12-10,Ground Beef 85/15,Kilogram,73,6.38,BATCH-62223,2026-04-06,INV-601787,
Westside Mall Branch,Premium Grocers Supply,2025-11-24,Ground Beef 85/15,Kilogram,33,7.16,BATCH-15277,2026-04-25,INV-765625,Quality checked and approved
Westside Mall Branch,Quality Foods Ltd.,2025-11-23,Ground Beef 85/15,Kilogram,83,6.2,BATCH-76861,2026-04-23,INV-319403,Promotional stock
South Bay Store,Prime Importers,2025-12-11,Pork Chops,Kilogram,46,7.81,BATCH-84783,2026-02-08,INV-770002,
South Bay Store,FreshFarm Wholesale Co.,2025-11-15,Pork Chops,Kilogram,54,7.48,BATCH-15567,2026-04-29,INV-348995,Promotional stock
Downtown Main Store,Quality Foods Ltd.,2025-12-27,Pork Chops,Kilogram,65,6.59,BATCH-18659,2026-05-18,INV-732857,Quality checked and approved
Downtown Main Store,Eco-Friendly Suppliers,2026-01-12,Pork Chops,Kilogram,70,7.09,BATCH-57190,2026-05-03,INV-597564,Rush delivery
Downtown Main Store,Mega Suppliers Inc.,2025-11-29,Pork Chops,Kilogram,53,7.52,BATCH-82570,2026-05-21,INV-897431,
Northpoint Outlet,Premium Grocers Supply,2026-01-15,Pork Chops,Kilogram,57,6.69,BATCH-45264,2026-07-13,INV-828917,
Eastgate Shopping Center,Eco-Friendly Suppliers,2025-11-22,Pork Chops,Kilogram,20,7.86,BATCH-92289,2026-01-27,INV-750554,
Eastgate Shopping Center,Prime Importers,2026-01-25,Pork Chops,Kilogram,20,7.99,BATCH-68886,2026-06-21,INV-300009,
Westside Mall Branch,Prime Importers,2025-12-13,Fresh Salmon Fillet,Kilogram,38,14.72,BATCH-24454,2026-03-16,INV-663481,Seasonal inventory
South Bay Store,Quality Foods Ltd.,2025-12-04,Fresh Salmon Fillet,Kilogram,26,13.73,BATCH-73464,2026-01-14,INV-860722,
Downtown Main Store,Prime Importers,2025-11-29,Fresh Salmon Fillet,Kilogram,56,12.26,BATCH-74260,2026-03-22,INV-805268,
South Bay Store,FreshFarm Wholesale Co.,2025-11-21,Jumbo Shrimp,Kilogram,41,14.78,BATCH-87298,2026-04-30,INV-714935,
Northpoint Outlet,Express Distribution Co.,2025-12-21,Jumbo Shrimp,Kilogram,11,16.2,BATCH-99005,2026-05-09,INV-572438,Promotional stock
Westside Mall Branch,Global Food Distributors,2025-11-23,Jumbo Shrimp,Kilogram,27,17.14,BATCH-84472,2026-01-10,INV-317576,Seasonal inventory
Westside Mall Branch,Express Distribution Co.,2025-11-09,Jumbo Shrimp,Kilogram,25,13.85,BATCH-58874,2026-02-16,INV-277184,Promotional stock
Westside Mall Branch,FreshFarm Wholesale Co.,2025-11-12,Jumbo Shrimp,Kilogram,25,13.98,BATCH-37919,2026-04-26,INV-561981,
Eastgate Shopping Center,Prime Importers,2025-12-16,Jumbo Shrimp,Kilogram,25,14.11,BATCH-66111,2026-05-17,INV-466497,Promotional stock
Downtown Main Store,FreshFarm Wholesale Co.,2026-02-02,White Bread Loaf,Unit,49,2.59,BATCH-36298,2026-05-16,INV-490388,Rush delivery
Downtown Main Store,Express Distribution Co.,2025-11-22,White Bread Loaf,Unit,60,2.33,BATCH-74072,2026-03-24,INV-502603,Rush delivery
Downtown Main Store,FreshFarm Wholesale Co.,2025-12-06,White Bread Loaf,Unit,54,2.76,BATCH-47447,2026-04-20,INV-164583,
South Bay Store,Regional Supply Chain,2025-11-05,White Bread Loaf,Unit,66,2.36,BATCH-69743,2026-01-18,INV-158258,Promotional stock
South Bay Store,Global Food Distributors,2026-01-14,White Bread Loaf,Unit,63,2.58,BATCH-82296,2026-06-25,INV-398114,
South Bay Store,Global Food Distributors,2025-11-27,White Bread Loaf,Unit,87,2.21,BATCH-58278,2026-02-22,INV-663966,
Westside Mall Branch,Bulk Foods Warehouse,2026-01-24,White Bread Loaf,Unit,139,2.54,BATCH-71539,2026-06-18,INV-189546,
Westside Mall Branch,Quality Foods Ltd.,2026-01-06,White Bread Loaf,Unit,109,2.7,BATCH-19517,2026-02-15,INV-893645,
Westside Mall Branch,Quality Foods Ltd.,2025-11-22,White Bread Loaf,Unit,113,2.41,BATCH-56048,2026-01-01,INV-942105,Promotional stock
Northpoint Outlet,Global Food Distributors,2026-01-03,White Bread Loaf,Unit,83,2.52,BATCH-37987,2026-05-16,INV-851150,Seasonal inventory
Northpoint Outlet,Prime Importers,2025-12-08,White Bread Loaf,Unit,93,2.62,BATCH-87552,2026-01-18,INV-599118,Seasonal inventory
Northpoint Outlet,Mega Suppliers Inc.,2026-01-22,White Bread Loaf,Unit,92,2.65,BATCH-17241,2026-05-02,INV-583846,
Northpoint Outlet,Eco-Friendly Suppliers,2025-12-16,Whole Wheat Bread,Unit,77,3.04,BATCH-96354,2026-03-03,INV-198336,
Westside Mall Branch,Eco-Friendly Suppliers,2025-11-29,Whole Wheat Bread,Unit,100,3.21,BATCH-33779,2026-03-24,INV-934583,
Westside Mall Branch,Regional Supply Chain,2026-01-26,Whole Wheat Bread,Unit,53,2.81,BATCH-30291,2026-03-15,INV-206859,Seasonal inventory
South Bay Store,FreshFarm Wholesale Co.,2025-11-26,Whole Wheat Bread,Unit,88,3.18,BATCH-65078,2026-04-30,INV-899285,
South Bay Store,Premium Grocers Supply,2025-12-17,Whole Wheat Bread,Unit,115,2.93,BATCH-38935,2026-02-25,INV-714778,Seasonal inventory
