Branch Name,Supplier Name,Received At,Inventory Item Name,UOM,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Tanqueray Gin,Bottle (75cl),15,15000,TAN-2024-001,,PSN-2024-0034,Initial stock
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Bacardi White Rum,Bottle (75cl),18,10000,BAC-2024-001,,PSN-2024-0037,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Bacardi White Rum,Bottle (75cl),12,10000,BAC-2024-001,,PSN-2024-0038,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Bacardi White Rum,Bottle (75cl),10,10000,BAC-2024-001,,PSN-2024-0039,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Captain Morgan Spiced Rum,Bottle (70cl),12,12000,CAP-2024-001,,PSN-2024-0040,Initial stock
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Patrón Silver Tequila,Bottle (70cl),8,40000,PAT-2024-001,,PSN-2024-0043,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Patrón Silver Tequila,Bottle (70cl),6,40000,PAT-2024-001,,PSN-2024-0044,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Jose Cuervo Gold Tequila,Bottle (70cl),12,15000,JOS-2024-001,,PSN-2024-0046,Initial stock
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Moët & Chandon Brut,Bottle (75cl),12,55000,MOË-2024-001,,PSN-2024-0049,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Moët & Chandon Brut,Bottle (75cl),8,55000,MOË-2024-001,,PSN-2024-0050,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Moët & Chandon Brut,Bottle (75cl),6,55000,MOË-2024-001,,PSN-2024-0051,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Dom Pérignon,Bottle (75cl),4,280000,DOM-2024-001,,PSN-2024-0052,Initial stock
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Veuve Clicquot Yellow Label,Bottle (75cl),8,62000,VEU-2024-001,,PSN-2024-0055,Initial stock
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Heineken Lager,Bottle (33cl),120,850,HEIN-2024-001,2024-12-31,LBD-2024-0001,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Heineken Lager,Bottle (33cl),96,850,HEIN-2024-001,2024-12-31,LBD-2024-0002,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Heineken Lager,Bottle (33cl),72,850,HEIN-2024-001,2024-12-31,LBD-2024-0003,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Guinness Foreign Extra Stout,Bottle (60cl),120,650,GUIN-2024-001,2025-01-31,LBD-2024-0004,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Guinness Foreign Extra Stout,Bottle (60cl),96,650,GUIN-2024-001,2025-01-31,LBD-2024-0005,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Guinness Foreign Extra Stout,Bottle (60cl),72,650,GUIN-2024-001,2025-01-31,LBD-2024-0006,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Star Lager,Bottle (60cl),120,450,STAR-2024-001,2024-12-31,LBD-2024-0007,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Star Lager,Bottle (60cl),96,450,STAR-2024-001,2024-12-31,LBD-2024-0008,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Star Lager,Bottle (60cl),72,450,STAR-2024-001,2024-12-31,LBD-2024-0009,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Trophy Lager,Bottle (60cl),96,400,TROP-2024-001,2024-12-31,LBD-2024-0010,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Trophy Lager,Bottle (60cl),72,400,TROP-2024-001,2024-12-31,LBD-2024-0011,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Smirnoff Ice,Bottle (30cl),72,1200,SMIR-2024-001,2025-06-30,LBD-2024-0013,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Smirnoff Ice,Bottle (30cl),48,1200,SMIR-2024-001,2025-06-30,LBD-2024-0014,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Coca-Cola,Bottle (50cl),144,250,COCA-2024-001,2024-12-31,LBD-2024-0016,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Coca-Cola,Bottle (50cl),120,250,COCA-2024-001,2024-12-31,LBD-2024-0017,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Coca-Cola,Bottle (50cl),96,250,COCA-2024-001,2024-12-31,LBD-2024-0018,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Sprite,Bottle (50cl),120,250,SPRI-2024-001,2024-12-31,LBD-2024-0019,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Sprite,Bottle (50cl),96,250,SPRI-2024-001,2024-12-31,LBD-2024-0020,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Sprite,Bottle (50cl),72,250,SPRI-2024-001,2024-12-31,LBD-2024-0021,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Fanta Orange,Bottle (50cl),96,250,FANT-2024-001,2024-12-31,LBD-2024-0022,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Fanta Orange,Bottle (50cl),72,250,FANT-2024-001,2024-12-31,LBD-2024-0023,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Schweppes Tonic Water,Bottle (33cl),96,350,SCHW-2024-001,2025-06-30,LBD-2024-0025,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Schweppes Tonic Water,Bottle (33cl),72,350,SCHW-2024-001,2025-06-30,LBD-2024-0026,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Schweppes Tonic Water,Bottle (33cl),48,350,SCHW-2024-001,2025-06-30,LBD-2024-0027,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Schweppes Soda Water,Bottle (33cl),96,350,SCHW-2024-001,2025-06-30,LBD-2024-0028,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Schweppes Soda Water,Bottle (33cl),72,350,SCHW-2024-001,2025-06-30,LBD-2024-0029,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Red Bull Energy Drink,Can (25cl),96,1400,RED -2024-001,2025-12-31,LBD-2024-0031,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Red Bull Energy Drink,Can (25cl),72,1400,RED -2024-001,2025-12-31,LBD-2024-0032,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Red Bull Energy Drink,Can (25cl),48,1400,RED -2024-001,2025-12-31,LBD-2024-0033,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Monster Energy,Can (50cl),48,1800,MONS-2024-001,2025-12-31,LBD-2024-0034,Initial stock
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Cranberry Juice,Bottle (1L),24,2400,CRAN-2024-001,2024-09-30,LBD-2024-0037,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Cranberry Juice,Bottle (1L),18,2400,CRAN-2024-001,2024-09-30,LBD-2024-0038,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Orange Juice,Bottle (1L),24,2000,ORAN-2024-001,2024-06-30,LBD-2024-0040,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Orange Juice,Bottle (1L),18,2000,ORAN-2024-001,2024-06-30,LBD-2024-0041,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Orange Juice,Bottle (1L),12,2000,ORAN-2024-001,2024-06-30,LBD-2024-0042,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Pineapple Juice,Bottle (1L),24,2000,PINE-2024-001,2024-06-30,LBD-2024-0043,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Pineapple Juice,Bottle (1L),18,2000,PINE-2024-001,2024-06-30,LBD-2024-0044,
Victoria Island Main,Lagos Beverages Distributors,2024-01-06,Eva Water,Bottle (75cl),144,150,EVA -2024-001,2025-12-31,LBD-2024-0046,Initial stock
Lekki Phase 1,Lagos Beverages Distributors,2024-01-06,Eva Water,Bottle (75cl),120,150,EVA -2024-001,2025-12-31,LBD-2024-0047,
Ikoyi Branch,Lagos Beverages Distributors,2024-01-06,Eva Water,Bottle (75cl),96,150,EVA -2024-001,2025-12-31,LBD-2024-0048,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Premium Shisha Tobacco - Double Apple,Pack (250g),20,5500,PREM-2024-001,2025-12-31,ALS-2024-0001,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Premium Shisha Tobacco - Double Apple,Pack (250g),15,5500,PREM-2024-001,2025-12-31,ALS-2024-0002,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-07,Premium Shisha Tobacco - Double Apple,Pack (250g),12,5500,PREM-2024-001,2025-12-31,ALS-2024-0003,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Premium Shisha Tobacco - Grape Mint,Pack (250g),18,5500,PREM-2024-001,2025-12-31,ALS-2024-0004,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Premium Shisha Tobacco - Grape Mint,Pack (250g),15,5500,PREM-2024-001,2025-12-31,ALS-2024-0005,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Shisha Charcoal,Box (96 pcs),30,2200,SHIS-2024-001,,ALS-2024-0007,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Shisha Charcoal,Box (96 pcs),25,2200,SHIS-2024-001,,ALS-2024-0008,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-07,Shisha Charcoal,Box (96 pcs),20,2200,SHIS-2024-001,,ALS-2024-0009,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Kilishi (Beef Jerky),Pack (100g),40,1800,KILI-2024-001,2024-06-30,ALS-2024-0010,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Kilishi (Beef Jerky),Pack (100g),30,1800,KILI-2024-001,2024-06-30,ALS-2024-0011,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-07,Kilishi (Beef Jerky),Pack (100g),25,1800,KILI-2024-001,2024-06-30,ALS-2024-0012,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Pringles Original,Can (165g),48,2400,PRIN-2024-001,2024-12-31,ALS-2024-0013,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Pringles Original,Can (165g),36,2400,PRIN-2024-001,2024-12-31,ALS-2024-0014,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-07,Pringles Original,Can (165g),24,2400,PRIN-2024-001,2024-12-31,ALS-2024-0015,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Mixed Nuts Premium,Pack (200g),30,2800,MIXE-2024-001,2024-09-30,ALS-2024-0016,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Mixed Nuts Premium,Pack (200g),24,2800,MIXE-2024-001,2024-09-30,ALS-2024-0017,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Chin Chin,Pack (250g),40,900,CHIN-2024-001,2024-06-30,ALS-2024-0019,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Chin Chin,Pack (250g),30,900,CHIN-2024-001,2024-06-30,ALS-2024-0020,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-07,Chin Chin,Pack (250g),25,900,CHIN-2024-001,2024-06-30,ALS-2024-0021,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Fresh Lime,Piece,100,50,FRES-2024-001,2024-01-21,ALS-2024-0022,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Fresh Lime,Piece,80,50,FRES-2024-001,2024-01-21,ALS-2024-0023,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-07,Fresh Lime,Piece,60,50,FRES-2024-001,2024-01-21,ALS-2024-0024,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Fresh Lemon,Piece,80,80,FRES-2024-001,2024-01-21,ALS-2024-0025,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Fresh Lemon,Piece,60,80,FRES-2024-001,2024-01-21,ALS-2024-0026,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Grenadine Syrup,Bottle (75cl),10,3500,GREN-2024-001,2025-12-31,ALS-2024-0028,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Grenadine Syrup,Bottle (75cl),8,3500,GREN-2024-001,2025-12-31,ALS-2024-0029,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Simple Syrup,Bottle (75cl),12,2200,SIMP-2024-001,2025-06-30,ALS-2024-0031,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Simple Syrup,Bottle (75cl),10,2200,SIMP-2024-001,2025-06-30,ALS-2024-0032,
Victoria Island Main,AfroLounge Supplies Co,2024-01-07,Ice Cubes,Bag (5kg),50,800,,,ALS-2024-0034,Initial stock
Lekki Phase 1,AfroLounge Supplies Co,2024-01-07,Ice Cubes,Bag (5kg),40,800,,,ALS-2024-0035,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-07,Ice Cubes,Bag (5kg),30,800,,,ALS-2024-0036,
Victoria Island Main,Lagos Beverages Distributors,2024-01-20,Hennessy VS,Bottle (70cl),12,33000,HVS-LBD-001,,LBD-2024-0100,Different supplier - higher price
Lekki Phase 1,Lagos Beverages Distributors,2024-01-20,Hennessy VS,Bottle (70cl),10,33000,HVS-LBD-001,,LBD-2024-0101,
Ikoyi Branch,AfroLounge Supplies Co,2024-01-20,Hennessy VS,Bottle (70cl),8,34500,HVS-ALS-001,,ALS-2024-0100,Third supplier - highest price
Victoria Island Main,AfroLounge Supplies Co,2024-01-20,Johnnie Walker Black Label,Bottle (75cl),15,25000,JWBL-ALS-001,,ALS-2024-0101,Different supplier - price variance
Lekki Phase 1,AfroLounge Supplies Co,2024-01-20,Johnnie Walker Black Label,Bottle (75cl),12,25000,JWBL-ALS-001,,ALS-2024-0102,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-02-01,Hennessy VS,Bottle (70cl),24,32500,HEN-2024-002,,PSN-2024-0050,Monthly restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-02-01,Hennessy VS,Bottle (70cl),18,32500,HEN-2024-002,,PSN-2024-0051,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-02-01,Hennessy VS,Bottle (70cl),12,32500,HEN-2024-002,,PSN-2024-0052,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-02-01,Hennessy VSOP,Bottle (70cl),12,63000,HEN-2024-002,,PSN-2024-0053,Monthly restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-02-01,Hennessy VSOP,Bottle (70cl),8,63000,HEN-2024-002,,PSN-2024-0054,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-02-01,Ciroc Vodka,Bottle (75cl),18,27500,CIR-2024-002,,PSN-2024-0056,Monthly restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-02-01,Ciroc Vodka,Bottle (75cl),15,27500,CIR-2024-002,,PSN-2024-0057,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-02-01,Ciroc Vodka,Bottle (75cl),10,27500,CIR-2024-002,,PSN-2024-0058,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-02-01,Johnnie Walker Black Label,Bottle (75cl),20,24500,JOH-2024-002,,PSN-2024-0059,Monthly restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-02-01,Johnnie Walker Black Label,Bottle (75cl),15,24500,JOH-2024-002,,PSN-2024-0060,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-02-01,Johnnie Walker Black Label,Bottle (75cl),12,24500,JOH-2024-002,,PSN-2024-0061,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-02-01,Moët & Chandon Brut,Bottle (75cl),15,56000,MOË-2024-002,,PSN-2024-0062,Monthly restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-02-01,Moët & Chandon Brut,Bottle (75cl),12,56000,MOË-2024-002,,PSN-2024-0063,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-02-01,Moët & Chandon Brut,Bottle (75cl),10,56000,MOË-2024-002,,PSN-2024-0064,
Victoria Island Main,Lagos Beverages Distributors,2024-02-05,Heineken Lager,Bottle (33cl),144,870,HEIN-2024-002,2025-01-31,LBD-2024-0055,Price increase
Lekki Phase 1,Lagos Beverages Distributors,2024-02-05,Heineken Lager,Bottle (33cl),120,870,HEIN-2024-002,2025-01-31,LBD-2024-0056,
Ikoyi Branch,Lagos Beverages Distributors,2024-02-05,Heineken Lager,Bottle (33cl),96,870,HEIN-2024-002,2025-01-31,LBD-2024-0057,
Victoria Island Main,Lagos Beverages Distributors,2024-02-05,Guinness Foreign Extra Stout,Bottle (60cl),120,680,GUIN-2024-002,2025-02-28,LBD-2024-0058,Price increase
Lekki Phase 1,Lagos Beverages Distributors,2024-02-05,Guinness Foreign Extra Stout,Bottle (60cl),96,680,GUIN-2024-002,2025-02-28,LBD-2024-0059,
Ikoyi Branch,Lagos Beverages Distributors,2024-02-05,Guinness Foreign Extra Stout,Bottle (60cl),72,680,GUIN-2024-002,2025-02-28,LBD-2024-0060,
Victoria Island Main,Lagos Beverages Distributors,2024-02-05,Star Lager,Bottle (60cl),120,470,STAR-2024-002,2025-01-31,LBD-2024-0061,Price increase
Lekki Phase 1,Lagos Beverages Distributors,2024-02-05,Star Lager,Bottle (60cl),96,470,STAR-2024-002,2025-01-31,LBD-2024-0062,
Ikoyi Branch,Lagos Beverages Distributors,2024-02-05,Star Lager,Bottle (60cl),72,470,STAR-2024-002,2025-01-31,LBD-2024-0063,
Victoria Island Main,Lagos Beverages Distributors,2024-02-05,Coca-Cola,Bottle (50cl),144,260,COCA-2024-002,2025-01-31,LBD-2024-0064,Price increase
Lekki Phase 1,Lagos Beverages Distributors,2024-02-05,Coca-Cola,Bottle (50cl),120,260,COCA-2024-002,2025-01-31,LBD-2024-0065,
Ikoyi Branch,Lagos Beverages Distributors,2024-02-05,Coca-Cola,Bottle (50cl),96,260,COCA-2024-002,2025-01-31,LBD-2024-0066,
Victoria Island Main,Lagos Beverages Distributors,2024-02-05,Red Bull Energy Drink,Can (25cl),96,1450,RED -2024-002,2026-01-31,LBD-2024-0067,Price increase
Lekki Phase 1,Lagos Beverages Distributors,2024-02-05,Red Bull Energy Drink,Can (25cl),72,1450,RED -2024-002,2026-01-31,LBD-2024-0068,
Ikoyi Branch,Lagos Beverages Distributors,2024-02-05,Red Bull Energy Drink,Can (25cl),48,1450,RED -2024-002,2026-01-31,LBD-2024-0069,
Victoria Island Main,AfroLounge Supplies Co,2024-02-10,Premium Shisha Tobacco - Double Apple,Pack (250g),25,5600,PREM-2024-002,2026-01-31,ALS-2024-0025,Valentine's prep
Lekki Phase 1,AfroLounge Supplies Co,2024-02-10,Premium Shisha Tobacco - Double Apple,Pack (250g),20,5600,PREM-2024-002,2026-01-31,ALS-2024-0026,
Ikoyi Branch,AfroLounge Supplies Co,2024-02-10,Premium Shisha Tobacco - Double Apple,Pack (250g),15,5600,PREM-2024-002,2026-01-31,ALS-2024-0027,
Victoria Island Main,AfroLounge Supplies Co,2024-02-10,Shisha Charcoal,Box (96 pcs),40,2300,SHIS-2024-002,,ALS-2024-0028,Valentine's prep
Lekki Phase 1,AfroLounge Supplies Co,2024-02-10,Shisha Charcoal,Box (96 pcs),30,2300,SHIS-2024-002,,ALS-2024-0029,
Ikoyi Branch,AfroLounge Supplies Co,2024-02-10,Shisha Charcoal,Box (96 pcs),25,2300,SHIS-2024-002,,ALS-2024-0030,
Victoria Island Main,AfroLounge Supplies Co,2024-02-10,Fresh Lime,Piece,150,55,FRES-2024-002,2024-02-24,ALS-2024-0031,Valentine's prep
Lekki Phase 1,AfroLounge Supplies Co,2024-02-10,Fresh Lime,Piece,120,55,FRES-2024-002,2024-02-24,ALS-2024-0032,
Ikoyi Branch,AfroLounge Supplies Co,2024-02-10,Fresh Lime,Piece,100,55,FRES-2024-002,2024-02-24,ALS-2024-0033,
Victoria Island Main,AfroLounge Supplies Co,2024-02-10,Ice Cubes,Bag (5kg),80,850,,,ALS-2024-0034,Valentine's prep
Lekki Phase 1,AfroLounge Supplies Co,2024-02-10,Ice Cubes,Bag (5kg),60,850,,,ALS-2024-0035,
Ikoyi Branch,AfroLounge Supplies Co,2024-02-10,Ice Cubes,Bag (5kg),50,850,,,ALS-2024-0036,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-02-14,Dom Pérignon,Bottle (75cl),6,285000,DP-2024-002,,PSN-2024-0080,Valentine's special
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-02-14,Dom Pérignon,Bottle (75cl),4,285000,DP-2024-002,,PSN-2024-0081,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-02-14,Dom Pérignon,Bottle (75cl),3,285000,DP-2024-002,,PSN-2024-0082,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-02-14,Veuve Clicquot Yellow Label,Bottle (75cl),12,63000,VC-2024-002,,PSN-2024-0080,
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-02-14,Veuve Clicquot Yellow Label,Bottle (75cl),10,63000,VC-2024-002,,PSN-2024-0081,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-03-01,Hennessy VS,Bottle (70cl),30,33500,HEN-2024-003,,PSN-2024-0100,March restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-03-01,Hennessy VS,Bottle (70cl),24,33500,HEN-2024-003,,PSN-2024-0101,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-03-01,Hennessy VS,Bottle (70cl),18,33500,HEN-2024-003,,PSN-2024-0102,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-03-01,Hennessy VSOP,Bottle (70cl),12,64000,HEN-2024-003,,PSN-2024-0103,March restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-03-01,Hennessy VSOP,Bottle (70cl),8,64000,HEN-2024-003,,PSN-2024-0104,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-03-01,Rémy Martin XO,Bottle (70cl),6,188000,RÉM-2024-003,,PSN-2024-0106,March restock
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-03-01,Rémy Martin XO,Bottle (70cl),4,188000,RÉM-2024-003,,PSN-2024-0108,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-03-01,Johnnie Walker Black Label,Bottle (75cl),24,25000,JOH-2024-003,,PSN-2024-0109,March restock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-03-01,Johnnie Walker Black Label,Bottle (75cl),18,25000,JOH-2024-003,,PSN-2024-0110,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-03-01,Johnnie Walker Black Label,Bottle (75cl),15,25000,JOH-2024-003,,PSN-2024-0111,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-03-01,Johnnie Walker Blue Label,Bottle (75cl),6,138000,JOH-2024-003,,PSN-2024-0112,March restock
